2025-12-07 13:51:40 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-07 13:51:40 [main] INFO  com.ruoyi.RuoYiApplication - Starting RuoYiApplication using Java 17.0.12 with PID 5620 (D:\refactored-octo-doodle\backend\ruoyi-admin-wms\target\classes started by 23254 in D:\refactored-octo-doodle\backend)
2025-12-07 13:51:40 [main] INFO  com.ruoyi.RuoYiApplication - The following 1 profile is active: "dev"
2025-12-07 13:51:51 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-12-07 13:51:53 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-12-07 13:51:54 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-12-07 13:51:55 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@1e2c0292
2025-12-07 13:51:55 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-12-07 13:51:55 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-12-07 13:51:55 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2025-12-07 13:52:02 [main] INFO  c.r.common.redis.config.RedisConfig - 初始化 redis 配置
2025-12-07 13:52:02 [main] INFO  org.redisson.Version - Redisson 3.29.0
2025-12-07 13:52:03 [redisson-netty-1-4] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for 127.0.0.1/127.0.0.1:6379
2025-12-07 13:52:03 [redisson-netty-1-3] INFO  o.r.connection.ConnectionsHolder - 8 connections initialized for 127.0.0.1/127.0.0.1:6379
2025-12-07 13:52:05 [main] INFO  c.r.common.json.config.JacksonConfig - 初始化 jackson 配置
2025-12-07 13:52:10 [main] INFO  io.undertow - starting server: Undertow - 2.3.13.Final
2025-12-07 13:52:10 [main] INFO  org.xnio - XNIO version 3.8.8.Final
2025-12-07 13:52:10 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.8.Final
2025-12-07 13:52:11 [main] INFO  org.jboss.threads - JBoss Threads version 3.5.0.Final
2025-12-07 13:52:11 [main] INFO  com.ruoyi.RuoYiApplication - Started RuoYiApplication in 32.952 seconds (process running for 35.284)
2025-12-07 13:52:12 [main] INFO  p6spy - 2025-12-07 13:52:12|23|statement|connection 0|url jdbc:mysql://127.0.0.5:3306/xxxx?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  oss_config_id,config_key,access_key,secret_key,bucket_name,prefix,endpoint,domain,is_https,region,status,ext1,remark,access_policy,create_by,create_time,update_by,update_time  FROM sys_oss_config|SELECT  oss_config_id,config_key,access_key,secret_key,bucket_name,prefix,endpoint,domain,is_https,region,status,ext1,remark,access_policy,create_by,create_time,update_by,update_time  FROM sys_oss_config
2025-12-07 13:52:12 [main] INFO  c.r.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2025-12-07 13:52:12 [main] INFO  p6spy - 2025-12-07 13:52:12|1|statement|connection 1|url jdbc:mysql://127.0.0.5:3306/xxxx?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  config_id,config_name,config_key,config_value,config_type,remark,create_by,create_time,update_by,update_time  FROM sys_config           ORDER BY config_id ASC|SELECT  config_id,config_name,config_key,config_value,config_type,remark,create_by,create_time,update_by,update_time  FROM sys_config           ORDER BY config_id ASC
2025-12-07 13:52:12 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2025-12-07 13:52:12 [main] INFO  p6spy - 2025-12-07 13:52:12|2|statement|connection 2|url jdbc:mysql://127.0.0.5:3306/xxxx?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  dict_code,dict_sort,dict_label,dict_value,dict_type,css_class,list_class,is_default,status,remark,create_by,create_time,update_by,update_time  FROM sys_dict_data      WHERE  (status = ?)|SELECT  dict_code,dict_sort,dict_label,dict_value,dict_type,css_class,list_class,is_default,status,remark,create_by,create_time,update_by,update_time  FROM sys_dict_data      WHERE  (status = '1')
2025-12-07 13:52:12 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2025-12-07 14:06:48 [SpringApplicationShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.3.13.Final
2025-12-07 14:06:48 [SpringApplicationShutdownHook] INFO  c.r.c.core.config.ThreadPoolConfig - ====关闭后台任务任务线程池====
2025-12-07 14:06:48 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2025-12-07 14:06:48 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2025-12-07 14:06:48 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2025-12-07 14:06:48 [SpringApplicationShutdownHook] INFO  c.b.d.d.d.DefaultDataSourceDestroyer - dynamic-datasource close the datasource named [master] success,
2025-12-07 14:06:48 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
